Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.56403E+12,25/07/2019 4:00,ZECUSD,72.04,72.04,69.72,71.17,95.85247359
1.56394E+12,24/07/2019 4:00,ZECUSD,68.29,72.58,67.8,72.04,4310.222444
1.56385E+12,23/07/2019 4:00,ZECUSD,73.25,73.25,68.29,68.29,3980.636706
1.56377E+12,22/07/2019 4:00,ZECUSD,75.55,75.63,71.25,73.25,1972.881043
1.56368E+12,21/07/2019 4:00,ZECUSD,76.27,77.24,73.62,75.55,2826.461525
1.5636E+12,20/07/2019 4:00,ZECUSD,76.62,80.21,76.27,76.27,4093.605424
1.56351E+12,19/07/2019 4:00,ZECUSD,77.5,77.67,71.19,76.62,4203.382239
1.56342E+12,18/07/2019 4:00,ZECUSD,74.63,81.09,72.7,77.5,6182.589169
1.56334E+12,17/07/2019 4:00,ZECUSD,67.27,77.69,66.4,74.63,9347.37999
1.56325E+12,16/07/2019 4:00,ZECUSD,79.2,79.75,64.5,67.27,18255.01129
1.56316E+12,15/07/2019 4:00,ZECUSD,79.03,81.94,76.6,79.2,7210.215028
1.56308E+12,14/07/2019 4:00,ZECUSD,89.64,90.01,76.01,79.03,9516.65486
1.56299E+12,13/07/2019 4:00,ZECUSD,91,91.79,85.83,89.64,3759.789232
1.5629E+12,12/07/2019 4:00,ZECUSD,87.01,93.59,85.83,91,3444.50718
1.56282E+12,11/07/2019 4:00,ZECUSD,93.67,93.67,86.88,87.01,390.9005019
1.56273E+12,10/07/2019 4:00,ZECUSD,102.12,104.71,93.46,93.67,8561.222323
1.56264E+12,09/07/2019 4:00,ZECUSD,106.17,106.17,98.71,102.12,9889.133891
1.56256E+12,08/07/2019 4:00,ZECUSD,105.61,107.37,103.8,106.17,5010.044035
1.56247E+12,07/07/2019 4:00,ZECUSD,102.58,107.09,102.19,105.61,1756.65408
1.56239E+12,06/07/2019 4:00,ZECUSD,102.01,106.52,100.72,102.58,1677.582074
1.5623E+12,05/07/2019 4:00,ZECUSD,100.6,103.54,98.57,102.01,3224.29632
1.56221E+12,04/07/2019 4:00,ZECUSD,104.41,105.26,99.83,100.6,2735.118765
1.56213E+12,03/07/2019 4:00,ZECUSD,105.46,106.56,101.68,104.41,2966.482107
1.56204E+12,02/07/2019 4:00,ZECUSD,106.68,106.68,95.67,105.46,6056.62426
1.56195E+12,01/07/2019 4:00,ZECUSD,106.68,106.68,106.68,106.68,0
1.56187E+12,30/06/2019 4:00,ZECUSD,113.97,113.97,102,106.68,2159.528195
1.56178E+12,29/06/2019 4:00,ZECUSD,107.15,114.25,106.98,113.97,3070.365962
1.56169E+12,28/06/2019 4:00,ZECUSD,109.98,114.66,105.58,107.15,7961.205386
1.56161E+12,27/06/2019 4:00,ZECUSD,109.97,113.14,95.36,109.98,19236.18378
1.56152E+12,26/06/2019 4:00,ZECUSD,108.74,127.4,103.91,109.97,24378.84796
1.56144E+12,25/06/2019 4:00,ZECUSD,107.12,108.99,102.87,108.74,6042.71151
1.56135E+12,24/06/2019 4:00,ZECUSD,105.6,110.38,105.6,107.12,3433.552143
1.56126E+12,23/06/2019 4:00,ZECUSD,113.55,114.37,104.26,105.6,4302.948819
1.56118E+12,22/06/2019 4:00,ZECUSD,111.77,117.8,110.52,113.55,3317.036401
1.56109E+12,21/06/2019 4:00,ZECUSD,111.1,114,107.78,111.77,3873.391127
1.561E+12,20/06/2019 4:00,ZECUSD,108.29,114.63,106.21,111.1,3606.134013
1.56092E+12,19/06/2019 4:00,ZECUSD,114.08,115.21,106.68,108.29,5511.648923
1.56083E+12,18/06/2019 4:00,ZECUSD,102.5,115.3,98.97,114.08,19806.60213
1.56074E+12,17/06/2019 4:00,ZECUSD,95.99,105.03,94.31,102.5,12472.86226
1.56066E+12,16/06/2019 4:00,ZECUSD,92.64,96.45,90.24,95.99,4346.545441
1.56057E+12,15/06/2019 4:00,ZECUSD,90.75,93.9,90.75,92.64,1799.859451
1.56048E+12,14/06/2019 4:00,ZECUSD,87.96,95.6,86.71,90.75,9363.265839
1.5604E+12,13/06/2019 4:00,ZECUSD,88.03,89.59,87.96,87.96,195.035714
1.56031E+12,12/06/2019 4:00,ZECUSD,80.84,92.45,80.59,88.03,13115.31998
1.56023E+12,11/06/2019 4:00,ZECUSD,79.65,82,77.28,80.84,2030.242122
1.56014E+12,10/06/2019 4:00,ZECUSD,78.34,81.75,77.85,79.65,3571.162921
1.56005E+12,09/06/2019 4:00,ZECUSD,79.18,80.9,75.65,78.34,1789.579537
1.55997E+12,08/06/2019 4:00,ZECUSD,83.32,84.56,78.91,79.18,1177.293564
1.55988E+12,07/06/2019 4:00,ZECUSD,80.89,84.94,79.82,83.32,4193.618834
1.55979E+12,06/06/2019 4:00,ZECUSD,81.03,81.12,76.61,80.89,1110.934014
1.55971E+12,05/06/2019 4:00,ZECUSD,78.9,81.32,76.93,81.03,3844.521823
1.55962E+12,04/06/2019 4:00,ZECUSD,82.13,83.12,74.54,78.9,5509.165022
1.55953E+12,03/06/2019 4:00,ZECUSD,87.78,88.08,79.8,82.13,9478.603609
1.55945E+12,02/06/2019 4:00,ZECUSD,86.24,89.83,86,87.78,1551.872002
1.55936E+12,01/06/2019 4:00,ZECUSD,91.49,91.58,84.18,86.24,2179.21998
1.55928E+12,31/05/2019 4:00,ZECUSD,85.89,91.99,85.89,91.49,90.44186898
1.55919E+12,30/05/2019 4:00,ZECUSD,86.24,97.59,79.54,85.89,23264.38936
1.5591E+12,29/05/2019 4:00,ZECUSD,82.28,88.36,79.17,86.24,6478.858047
1.55902E+12,28/05/2019 4:00,ZECUSD,78.5,88.9,78.5,82.28,11137.46927
1.55893E+12,27/05/2019 4:00,ZECUSD,75.71,78.5,75,78.5,1444.111534
1.55884E+12,26/05/2019 4:00,ZECUSD,71.74,78.08,70.71,75.71,3982.488081
1.55876E+12,25/05/2019 4:00,ZECUSD,72.8,74.33,71.61,71.74,1550.181401
1.55867E+12,24/05/2019 4:00,ZECUSD,71.7,75,71.7,72.8,2433.261594
1.55858E+12,23/05/2019 4:00,ZECUSD,70.3,72.6,67.8,71.7,3466.202662
1.5585E+12,22/05/2019 4:00,ZECUSD,75.01,75.1,69.18,70.3,2816.842498
1.55841E+12,21/05/2019 4:00,ZECUSD,74.92,77.09,74.04,75.01,2914.404001
1.55832E+12,20/05/2019 4:00,ZECUSD,76.29,78.61,72.55,74.92,7946.831148
1.55824E+12,19/05/2019 4:00,ZECUSD,76.54,79.23,74.46,76.29,5515.920627
1.55815E+12,18/05/2019 4:00,ZECUSD,73.75,76.54,71.39,76.54,2256.292918
1.55807E+12,17/05/2019 4:00,ZECUSD,70.88,74.4,66.12,73.75,5600.850582
1.55798E+12,16/05/2019 4:00,ZECUSD,79.55,79.7,64.99,70.88,19052.93839
